Year,Category,Nominee,Additional Info,Won?
2018,Best Director - Motion Picture,Guillermo del Toro,The Shape of Water,W
2018,Best Director - Motion Picture,Christopher Nolan,Dunkirk,N
2018,Best Director - Motion Picture,Martin McDonagh,"Three Billboards Outside Ebbing, Missouri",N
2018,Best Director - Motion Picture,Ridley Scott,All The Money In The World,N
2018,Best Director - Motion Picture,Steven Spielberg,The Post,N
2018,Best Performance by an Actor In A Television Series - Drama,Sterling K. Brown,This Is Us,W
2018,Best Performance by an Actor In A Television Series - Drama,Bob Odenkirk,Better Call Saul,N
2018,Best Performance by an Actor In A Television Series - Drama,Freddie Highmore,The Good Doctor,N
2018,Best Performance by an Actor In A Television Series - Drama,Jason Bateman,Ozark,N
2018,Best Performance by an Actor In A Television Series - Drama,Liev Schreiber,Ray Donovan,N
2018,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Ewan McGregor,Fargo (TV show),W
2018,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Geoffrey Rush,Genius,N
2018,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Jude Law,The Young Pope,N
2018,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Kyle MacLachlan,Twin Peaks,N
2018,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Robert De Niro,The Wizard of Lies,N
2018,Best Performance by an Actor in a Motion Picture - Drama,Gary Oldman,Darkest Hour,W
2018,Best Performance by an Actor in a Motion Picture - Drama,Daniel Day-Lewis,Phantom Thread,N
2018,Best Performance by an Actor in a Motion Picture - Drama,Denzel Washington,"Roman J. Israel, Esq.",N
2018,Best Performance by an Actor in a Motion Picture - Drama,Timothée Chalamet,Call Me By Your Name,N
2018,Best Performance by an Actor in a Motion Picture - Drama,Tom Hanks,The Post,N
2018,Best Performance by an Actor in a Motion Picture - Musical or Comedy,James Franco,The Disaster Artist,W
2018,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Ansel Elgort,Baby Driver,N
2018,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Daniel Kaluuya,Get Out,N
2018,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Hugh Jackman,The Greatest Showman,N
2018,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Steve Carell,Battle of the Sexes,N
2018,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Alexander Skarsgård,Big Little Lies,W
2018,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Alfred Molina,Feud: Bette And Joan,N
2018,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Christian Slater,Mr. Robot,N
2018,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",David Harbour,Stranger Things,N
2018,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",David Thewlis,Fargo (TV show),N
2018,Best Performance by an Actor in a Supporting Role in any Motion Picture,Sam Rockwell,"Three Billboards Outside Ebbing, Missouri",W
2018,Best Performance by an Actor in a Supporting Role in any Motion Picture,Armie Hammer,Call Me By Your Name,N
2018,Best Performance by an Actor in a Supporting Role in any Motion Picture,Christopher Plummer,All The Money In The World,N
2018,Best Performance by an Actor in a Supporting Role in any Motion Picture,Richard Jenkins,The Shape of Water,N
2018,Best Performance by an Actor in a Supporting Role in any Motion Picture,Willem Dafoe,The Florida Project,N
2018,Best Performance by an Actor in a Television Series - Musical or Comedy,Aziz Ansari,Master of None,W
2018,Best Performance by an Actor in a Television Series - Musical or Comedy,Anthony Anderson,Black-ish,N
2018,Best Performance by an Actor in a Television Series - Musical or Comedy,Eric McCormack,Will & Grace,N
2018,Best Performance by an Actor in a Television Series - Musical or Comedy,Kevin Bacon,I Love Dick,N
2018,Best Performance by an Actor in a Television Series - Musical or Comedy,William H. Macy,Shameless,N
2018,Best Performance by an Actress In A Television Series - Drama,Elisabeth Moss,The Handmaid's Tale,W
2018,Best Performance by an Actress In A Television Series - Drama,Caitriona Balfe,Outlander,N
2018,Best Performance by an Actress In A Television Series - Drama,Claire Foy,The Crown,N
2018,Best Performance by an Actress In A Television Series - Drama,Katherine Langford,13 Reasons Why,N
2018,Best Performance by an Actress In A Television Series - Drama,Maggie Gyllenhaal,The Deuce,N
2018,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Nicole Kidman,Big Little Lies,W
2018,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Jessica Biel,The Sinner,N
2018,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Jessica Lange,Feud: Bette And Joan,N
2018,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Reese Witherspoon,Big Little Lies,N
2018,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Susan Sarandon,Feud: Bette And Joan,N
2018,Best Performance by an Actress in a Motion Picture - Drama,Frances McDormand,"Three Billboards Outside Ebbing, Missouri",W
2018,Best Performance by an Actress in a Motion Picture - Drama,Jessica Chastain,Molly's Game,N
2018,Best Performance by an Actress in a Motion Picture - Drama,Meryl Streep,The Post,N
2018,Best Performance by an Actress in a Motion Picture - Drama,Michelle Williams,All The Money In The World,N
2018,Best Performance by an Actress in a Motion Picture - Drama,Sally Hawkins,The Shape of Water,N
2018,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Saoirse Ronan,Lady Bird,W
2018,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Emma Stone,Battle of the Sexes,N
2018,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Helen Mirren,The Leisure Seeker,N
2018,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Judi Dench,Victoria & Abdul,N
2018,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Margot Robbie,"I, Tonya",N
2018,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Laura Dern,Big Little Lies,W
2018,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Ann Dowd,The Handmaid's Tale,N
2018,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Chrissy Metz,This Is Us,N
2018,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Michelle Pfeiffer,The Wizard of Lies,N
2018,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Shailene Woodley,Big Little Lies,N
2018,Best Performance by an Actress in a Supporting Role in any Motion Picture,Allison Janney,"I, Tonya",W
2018,Best Performance by an Actress in a Supporting Role in any Motion Picture,Hong Chau,Downsizing,N
2018,Best Performance by an Actress in a Supporting Role in any Motion Picture,Laurie Metcalf,Lady Bird,N
2018,Best Performance by an Actress in a Supporting Role in any Motion Picture,Mary J. Blige,Mudbound,N
2018,Best Performance by an Actress in a Supporting Role in any Motion Picture,Octavia Spencer,The Shape of Water,N
2018,Best Performance by an Actress in a Television Series - Musical or Comedy,Rachel Brosnahan,The Marvelous Mrs. Maisel,W
2018,Best Performance by an Actress in a Television Series - Musical or Comedy,Alison Brie,GLOW,N
2018,Best Performance by an Actress in a Television Series - Musical or Comedy,Frankie Shaw,SMILF,N
2018,Best Performance by an Actress in a Television Series - Musical or Comedy,Issa Rae,Insecure,N
2018,Best Performance by an Actress in a Television Series - Musical or Comedy,Pamela Adlon,Better Things,N
2018,Best Screenplay - Motion Picture,Martin McDonagh,"Three Billboards Outside Ebbing, Missouri",W
2018,Best Screenplay - Motion Picture,Aaron Sorkin,Molly's Game,N
2018,Best Screenplay - Motion Picture,Greta Gerwig,Lady Bird,N
2018,Best Screenplay - Motion Picture,Guillermo del Toro,Vanessa Taylor,N
2018,Best Screenplay - Motion Picture,Liz Hannah,Josh Singer,N
2017,Best Director - Motion Picture,Damien Chazelle,La La Land,W
2017,Best Director - Motion Picture,Barry Jenkins,Moonlight,N
2017,Best Director - Motion Picture,Kenneth Lonergan,Manchester by the Sea,N
2017,Best Director - Motion Picture,Mel Gibson,Hacksaw Ridge,N
2017,Best Director - Motion Picture,Tom Ford,Nocturnal Animals,N
2017,Best Performance by an Actor In A Television Series - Drama,Billy Bob Thornton,Goliath,W
2017,Best Performance by an Actor In A Television Series - Drama,Bob Odenkirk,Better Call Saul,N
2017,Best Performance by an Actor In A Television Series - Drama,Liev Schreiber,Ray Donovan,N
2017,Best Performance by an Actor In A Television Series - Drama,Matthew Rhys,The Americans,N
2017,Best Performance by an Actor In A Television Series - Drama,Rami Malek,Mr. Robot,N
2017,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Tom Hiddleston,The Night Manager,W
2017,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Bryan Cranston,All the Way,N
2017,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Courtney B. Vance,The People v. O.J. Simpson: American Crime Story,N
2017,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,John Turturro,The Night Of,N
2017,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Riz Ahmed,The Night Of,N
2017,Best Performance by an Actor in a Motion Picture - Drama,Casey Affleck,Manchester by the Sea,W
2017,Best Performance by an Actor in a Motion Picture - Drama,Andrew Garfield,Hacksaw Ridge,N
2017,Best Performance by an Actor in a Motion Picture - Drama,Denzel Washington,Fences,N
2017,Best Performance by an Actor in a Motion Picture - Drama,Joel Edgerton,Loving,N
2017,Best Performance by an Actor in a Motion Picture - Drama,Viggo Mortensen,Captain Fantastic,N
2017,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Ryan Gosling,La La Land,W
2017,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Colin Farrell,The Lobster,N
2017,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Hugh Grant,Florence Foster Jenkins,N
2017,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Jonah Hill,War Dogs,N
